code_insee,nb_accidents,nb_accidents_graves,nb_accidents_mortels,gravite_moyenne,age_moyen_victimes,lat_moyenne,long_moyenne,nb_accidents_nuit,nb_accidents_pluie,nb_accidents_mouille,annee_min,annee_max,taux_accidents_graves,taux_accidents_mortels,nom_commune,nb_amenagements,longueur_totale_amenagements,longueur_moyenne_amenagement,nb_voies_principales,nb_voies_residentielles,nb_pistes_cyclables,nb_double_sens,nb_sens_unique,nb_asphalt,nb_autres_revetements,ratio_pistes_cyclables,ratio_double_sens,nb_compteurs,comptage_total_commune,comptage_moyen_commune,comptage_max_commune,nom_commune_pop,population,departement,ratio_amenagements_par_accident,longueur_amenagement_par_accident,taux_risque_par_km,taux_risque_par_habitant,taux_risque_grave_par_habitant,densite_pop_amenagement,risque_eleve,categorie_risque,est_paris
75001,39,5,4,3.6153846153846154,34.07692307692308,0.0,0.0,10,5,5,2005.0,2007.0,0.1282051282051282,0.10256410256410256,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75002,14,3,3,3.357142857142857,35.642857142857146,0.0,0.0,3,2,5,2005.0,2007.0,0.21428571428571427,0.21428571428571427,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Modéré,1
75003,47,3,2,3.7872340425531914,36.48936170212766,0.0,0.0,11,4,4,2005.0,2007.0,0.06382978723404255,0.0425531914893617,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75004,58,12,12,3.3448275862068964,37.3448275862069,0.0,0.0,9,8,8,2005.0,2007.0,0.20689655172413793,0.20689655172413793,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75005,65,8,8,3.5692307692307694,34.87692307692308,0.0,0.0,14,8,10,2005.0,2007.0,0.12307692307692308,0.12307692307692308,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75006,58,9,9,3.4482758620689653,36.62068965517241,0.0,0.0,9,8,9,2005.0,2007.0,0.15517241379310345,0.15517241379310345,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75007,50,9,9,3.32,37.68,0.0,0.0,11,7,8,2005.0,2007.0,0.18,0.18,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75008,58,4,4,3.7241379310344827,39.44827586206897,0.0,0.0,9,7,6,2005.0,2007.0,0.06896551724137931,0.06896551724137931,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75009,36,3,3,3.75,37.083333333333336,0.0,0.0,7,2,3,2005.0,2007.0,0.08333333333333333,0.08333333333333333,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Élevé,1
75010,101,16,16,3.504950495049505,33.48514851485149,0.0,0.0,25,7,11,2005.0,2007.0,0.15841584158415842,0.15841584158415842,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0,75,0.0,0.0,0.0,0.0,0.0,0.0,1,Très élevé,1
